,id,saleprice,bsmtfin_sf_1,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,2nd_flr_sf,wood_deck_sf,open_porch_sf,lot_area,mas_vnr_area,gr_liv_area,garage_area,screen_porch,full_bath,totrms_abvgrd,lot_frontage,half_bath,bedroom_abvgr,overall_qual,exter_qual,bsmt_qual,kitchen_qual,bsmt_exposure,bsmtfin_type_1,ms_zoning,neighborhood,condition_1,foundation,year_remod/add,year_built,garage_yr_blt,sale_type,fireplaces
0,109,130500,533.0,192.0,725.0,725,754,0,44,13517,289.0,1479,475.0,0,2,6,0.0,1,3,6,4,0,4,1,5,RL,Sawyer,RRAe,CBlock,2005,1976,1976.0,WD ,0
1,544,220000,637.0,276.0,913.0,913,1209,0,74,11492,132.0,2122,559.0,0,2,8,43.0,1,4,7,4,4,4,1,5,RL,SawyerW,Norm,PConc,1997,1996,1997.0,WD ,1
2,153,109000,731.0,326.0,1057.0,1057,0,0,52,7922,0.0,1057,246.0,0,1,5,68.0,0,3,5,0,0,4,1,5,RL,NAmes,Norm,CBlock,2007,1953,1953.0,WD ,0
3,318,174000,0.0,384.0,384.0,744,700,100,0,9802,0.0,1444,400.0,0,2,7,73.0,1,3,5,0,4,0,1,0,RL,Timber,Norm,PConc,2007,2006,2007.0,WD ,0
4,255,138500,0.0,676.0,676.0,831,614,0,59,14235,0.0,1445,484.0,0,2,6,82.0,0,3,6,0,2,0,1,0,RL,SawyerW,Norm,PConc,1993,1900,1957.0,WD ,0
5,138,190000,247.0,557.0,1517.0,1888,0,0,0,16492,0.0,1888,578.0,0,2,6,137.0,1,2,6,4,0,4,1,4,RL,NAmes,PosA,CBlock,2002,1966,1966.0,WD ,1
6,2827,140000,547.0,0.0,547.0,1072,0,0,44,3675,82.0,1072,525.0,0,2,5,35.0,0,2,6,0,4,0,4,5,RM,Edwards,Norm,PConc,2006,2005,2005.0,New,0
7,145,142000,1000.0,188.0,1188.0,1188,0,0,0,12160,180.0,1188,531.0,0,1,6,0.0,0,3,5,0,0,0,1,2,RL,NAmes,Norm,CBlock,1959,1959,1959.0,COD,0
8,1942,112500,292.0,632.0,924.0,924,0,0,324,15783,0.0,924,420.0,0,1,6,0.0,0,2,5,0,0,0,1,2,RL,OldTown,Artery,CBlock,1952,1952,1952.0,WD ,0
9,1956,135000,650.0,390.0,1040.0,1040,1040,335,0,11606,192.0,2080,504.0,0,1,9,70.0,2,5,5,0,4,2,3,2,RL,NAmes,Norm,PConc,1969,1969,1969.0,WD ,2
10,1044,85400,387.0,96.0,483.0,483,504,0,0,1680,232.0,987,264.0,0,1,4,21.0,1,2,6,0,0,0,1,4,RM,BrDale,Norm,CBlock,1971,1971,1971.0,COD,0
11,2752,183600,393.0,815.0,1208.0,1208,0,105,58,7488,0.0,1208,632.0,0,2,6,64.0,0,2,7,4,4,4,3,5,RL,CollgCr,Norm,PConc,2005,2005,2005.0,WD ,0
12,807,131000,0.0,0.0,0.0,1288,728,0,0,26400,0.0,2016,576.0,0,1,7,120.0,0,4,5,4,0,0,0,0,RL,SawyerW,Feedr,PConc,2007,1880,1900.0,WD ,1
13,1177,200000,813.0,147.0,960.0,962,645,169,0,2645,456.0,1607,480.0,0,2,7,24.0,1,3,8,4,4,4,1,5,FV,Somerst,Norm,PConc,2000,1999,2000.0,ConLD,0
14,1480,193000,24.0,1327.0,1351.0,1361,0,0,50,9627,0.0,1361,610.0,0,2,6,74.0,0,3,7,4,4,4,3,5,RL,CollgCr,Norm,PConc,2007,2007,2007.0,WD ,0
15,324,173500,0.0,1430.0,1430.0,1430,0,0,0,10114,0.0,1430,624.0,0,2,7,93.0,0,3,5,0,5,4,3,0,RL,Mitchel,Norm,PConc,2005,2004,2004.0,WD ,0
16,1311,98000,0.0,624.0,624.0,624,720,0,0,4571,0.0,1344,513.0,0,1,7,34.0,0,4,5,0,0,0,1,0,RM,OldTown,Norm,BrkTil,1950,1916,1916.0,COD,0
17,770,139000,651.0,470.0,1121.0,1121,0,0,80,8816,0.0,1121,480.0,0,1,5,80.0,0,3,5,0,0,0,1,2,RL,Sawyer,Feedr,PConc,1963,1963,1963.0,WD ,0
18,2063,143500,0.0,660.0,660.0,1285,0,138,0,8197,148.0,1285,528.0,0,1,7,71.0,1,3,6,0,0,0,1,0,RL,Sawyer,Norm,CBlock,1977,1977,1977.0,WD ,1
19,69,215200,24.0,732.0,756.0,764,783,169,45,8640,0.0,1547,614.0,0,2,7,72.0,1,3,7,0,4,4,2,5,FV,Somerst,Norm,PConc,2009,2009,2009.0,Con,0
